Categoria;Facultad;Sexo;ResearchG;SEDICI;tipo;Memoria;Naturalis
III;FAHCE;M;SI;SI;NA;SI;NO
I;FAHCE;F;NO;SI;NA;SI;NO
IV;FAHCE;F;NO;SI;NA;SI;NO
II;FAHCE;F;NO;SI;NA;SI;NO
II;FAHCE;F;NO;SI;NA;SI;NO
II;FAHCE;M;NO;SI;NA;SI;NO
I;FAHCE;F;NO;SI;NA;SI;NO
II;FAHCE;M;NO;SI;NA;SI;NO
II;FAHCE;M;NO;SI;NA;NO;NO
IV;FAHCE;M;NO;SI;NA;SI;NO
III;FAHCE;F;NO;SI;NA;SI;NO
III;FAHCE;F;NO;SI;NA;SI;NO
III;FAHCE;M;SI;SI;NA;SI;NO
II;FAHCE;M;NO;SI;NA;SI;NO
II;FAHCE;F;NO;SI;NA;SI;NO
III;FAHCE;M;NO;SI;NA;SI;NO
V;FAHCE;M;NO;SI;NA;SI;NO
V;FAHCE;M;NO;SI;NA;SI;NO
V;FAHCE;M;NO;SI;NA;SI;NO
V;FAHCE;M;NO;SI;NA;SI;NO
II;FAHCE;M;NO;SI;NA;SI;NO
IV;FAHCE;M;NO;SI;NA;SI;NO
III;FAHCE;M;SI;SI;NA;SI;NO
I;FAHCE;M;NO;SI;NA;SI;NO
IV;FAHCE;F;NO;SI;NA;SI;NO
II;FAHCE;F;NO;SI;NA;SI;NO
II;FAHCE;F;NO;SI;NA;SI;NO
IV;FAHCE;M;NO;SI;NA;SI;NO
III;FAHCE;F;NO;SI;NA;SI;NO
V;FAHCE;M;NO;SI;NA;SI;NO
II;FAHCE;F;NO;SI;NA;NO;NO
II;FAHCE;F;NO;SI;NA;SI;NO
IV;FAHCE;M;NO;SI;NA;SI;NO
III;FAHCE;F;SI;SI;NA;SI;NO
III;FAHCE;F;NO;SI;NA;SI;NO
I;FAHCE;F;NO;SI;NA;SI;NO
III;FAHCE;M;NO;SI;NA;SI;NO
IV;FAHCE;M;NO;SI;NA;SI;NO
IV;FAHCE;F;NO;SI;NA;SI;NO
IV;FAHCE;F;NO;SI;NA;SI;NO
III;FAHCE;F;SI;SI;NA;SI;NO
I;FAHCE;F;NO;SI;NA;SI;NO
III;FAHCE;F;SI;SI;NA;SI;NO
II;FAHCE;M;NO;SI;NA;SI;NO
III;FAHCE;F;NO;SI;NA;SI;NO
IV;FAHCE;F;NO;SI;NA;SI;NO
II;FAHCE;M;NO;SI;NA;SI;NO
V;FAHCE;M;NO;SI;NA;SI;NO
III;FAHCE;F;NO;SI;NA;SI;NO
II;FAHCE;F;NO;SI;NA;SI;NO
NA;FAHCE;F;NO;SI;NA;SI;NO
III;FAHCE;F;NO;SI;NA;SI;NO
IV;FAHCE;F;NO;SI;NA;SI;NO
III;FAHCE;F;NO;SI;NA;SI;NO
III;FAHCE;M;NO;SI;NA;SI;NO
V;FAHCE;M;NO;SI;NA;SI;NO
III;FAHCE;M;SI;SI;NA;SI;NO
III;FAHCE;M;NO;SI;NA;SI;NO
III;FAHCE;F;NO;SI;NA;SI;NO
III;FAHCE;F;SI;SI;NA;SI;NO
I;FAHCE;M;NO;SI;NA;SI;NO
III;FAHCE;F;NO;SI;NA;SI;NO
III;FAHCE;M;NO;SI;NA;SI;NO
III;FAHCE;F;NO;SI;NA;SI;NO
III;FAHCE;M;NO;SI;NA;SI;NO
IV;FAHCE;M;NO;SI;NA;SI;NO
IV;FAHCE;F;NO;SI;NA;SI;NO
III;FAHCE;M;NO;SI;NA;SI;NO
III;FAHCE;M;SI;SI;NA;SI;NO
III;FAHCE;F;NO;SI;NA;SI;NO
III;FAHCE;F;NO;SI;NA;SI;NO
III;FAHCE;M;NO;SI;NA;SI;NO
III;FAHCE;M;NO;SI;NA;SI;NO
II;FAHCE;M;NO;SI;NA;SI;NO
III;FAHCE;F;NO;SI;NA;SI;NO
IV;FAHCE;F;NO;SI;NA;SI;NO
III;FAHCE;M;SI;SI;NA;SI;NO
III;FAHCE;F;NO;SI;NA;SI;NO
II;FAHCE;M;NO;SI;tesis;SI;NO
III;FAHCE;F;NO;SI;NA;SI;NO
II;FAHCE;M;SI;SI;NA;SI;NO
III;FAHCE;F;NO;SI;NA;SI;NO
II;FAHCE;F;NO;SI;NA;SI;NO
III;FAHCE;F;NO;SI;NA;SI;NO
V;FAHCE;M;NO;SI;NA;SI;NO
IV;FAHCE;M;NO;SI;NA;SI;NO
III;FAHCE;F;NO;SI;NA;SI;NO
I;FAHCE;M;SI;SI;NA;SI;NO
II;FAHCE;F;NO;SI;NA;SI;NO
III;FAHCE;M;NO;SI;NA;SI;NO
IV;FAHCE;M;NO;SI;NA;SI;NO
I;FAHCE;F;NO;SI;NA;SI;NO
III;FAHCE;F;NO;SI;NA;SI;NO
III;FAHCE;M;NO;SI;NA;SI;NO
III;FAHCE;F;SI;SI;NA;SI;NO
III;FAHCE;F;NO;SI;NA;SI;NO
III;FAHCE;F;NO;SI;NA;SI;NO
II;FAHCE;F;NO;SI;NA;SI;NO
III;FAHCE;F;NO;SI;NA;SI;NO
III;FAHCE;F;NO;SI;NA;SI;NO
IV;FAHCE;M;NO;SI;NA;SI;NO
III;FAHCE;F;NO;SI;NA;SI;NO
III;FAHCE;F;SI;SI;NA;SI;NO
