Categoria;Facultad;Sexo;ResearchG;SEDICI;Memoria;Naturalis
IV;FAHCE;M;NO;SI;SI;NO
III;FAHCE;F;NO;SI;SI;NO
I;FAHCE;M;SI;SI;SI;NO
II;FAHCE;F;NO;SI;SI;NO
III;FAHCE;M;NO;SI;SI;NO
IV;FAHCE;M;NO;SI;SI;NO
I;FAHCE;F;NO;SI;SI;NO
III;FAHCE;F;NO;SI;SI;NO
III;FAHCE;M;NO;SI;SI;NO
III;FAHCE;F;SI;SI;SI;NO
III;FAHCE;F;NO;SI;SI;NO
III;FAHCE;F;NO;SI;SI;NO
II;FAHCE;F;NO;SI;SI;NO
III;FAHCE;F;NO;SI;SI;NO
III;FAHCE;F;NO;SI;SI;NO
IV;FAHCE;M;NO;SI;SI;NO
III;FAHCE;F;NO;SI;SI;NO
III;FAHCE;F;SI;SI;SI;NO
